"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","🔍 GET посты userId=1","My Collection","2026-07-04","passed","2026-07-04","","","",""
"","48","⚠️ POST пустое тело (принимается)","My Collection","2026-07-04","passed","2026-07-04","","","",""
"","92","📝 POST новый пост","My Collection","2026-07-04","passed","2026-07-04","","","",""
"","200","✅ GET пост ID=1 (успех)","My Collection","2026-07-04","passed","2026-07-04","","","",""
"","37","❌ GET пост ID=999 (404)","My Collection","2026-07-04","passed","2026-07-04","","","",""
